"alpha2_code","name","region","jurisdiction_type","immigration_rule_status","missing_gates","operator_status"
"DZ","Algeria","Africa","country","unassessed","reviewed_primary_authority;reviewed_primary_source;fresh_monitor;verified_rule;immigration_rule_assessment","needs_evidence_research"
"AO","Angola","Africa","country","unassessed","reviewed_primary_authority;reviewed_primary_source;fresh_monitor;verified_rule;immigration_rule_assessment","needs_evidence_research"
"BJ","Benin","Africa","country","unassessed","reviewed_primary_authority;reviewed_primary_source;fresh_monitor;verified_rule;immigration_rule_assessment","needs_evidence_research"
"BW","Botswana","Africa","country","unassessed","reviewed_primary_authority;reviewed_primary_source;fresh_monitor;verified_rule;immigration_rule_assessment","needs_evidence_research"
"IO","British Indian Ocean Territory","Africa","territory","unassessed","reviewed_primary_authority;reviewed_primary_source;fresh_monitor;verified_rule;immigration_rule_assessment","needs_evidence_research"
"BF","Burkina Faso","Africa","country","unassessed","reviewed_primary_authority;reviewed_primary_source;fresh_monitor;verified_rule;immigration_rule_assessment","needs_evidence_research"
"BI","Burundi","Africa","country","unassessed","reviewed_primary_authority;reviewed_primary_source;fresh_monitor;verified_rule;immigration_rule_assessment","needs_evidence_research"
"CV","Cabo Verde","Africa","country","unassessed","reviewed_primary_authority;reviewed_primary_source;fresh_monitor;verified_rule;immigration_rule_assessment","needs_evidence_research"
"CM","Cameroon","Africa","country","unassessed","reviewed_primary_authority;reviewed_primary_source;fresh_monitor;verified_rule;immigration_rule_assessment","needs_evidence_research"
"CF","Central African Republic","Africa","country","unassessed","reviewed_primary_authority;reviewed_primary_source;fresh_monitor;verified_rule;immigration_rule_assessment","needs_evidence_research"
