"alpha2_code","name","region","jurisdiction_type","immigration_rule_status","missing_gates","operator_status","proposed_relationship","parent_code","authority_name","authority_type","authority_url","official_source_name","official_source_url","source_domain","evidence_title","evidence_url","evidence_rationale","technical_probe_status","research_notes"
"DZ","Algeria","Africa","country","unassessed","reviewed_primary_authority;reviewed_primary_source;fresh_monitor;verified_rule;immigration_rule_assessment","needs_evidence_research","","","","","","","","visa","","","","not_tested",""
"AO","Angola","Africa","country","unassessed","reviewed_primary_authority;reviewed_primary_source;fresh_monitor;verified_rule;immigration_rule_assessment","needs_evidence_research","","","","","","","","visa","","","","not_tested",""
"BJ","Benin","Africa","country","unassessed","reviewed_primary_authority;reviewed_primary_source;fresh_monitor;verified_rule;immigration_rule_assessment","needs_evidence_research","","","","","","","","visa","","","","not_tested",""
"BW","Botswana","Africa","country","unassessed","reviewed_primary_authority;reviewed_primary_source;fresh_monitor;verified_rule;immigration_rule_assessment","needs_evidence_research","","","","","","","","visa","","","","not_tested",""
"IO","British Indian Ocean Territory","Africa","territory","unassessed","reviewed_primary_authority;reviewed_primary_source;fresh_monitor;verified_rule;immigration_rule_assessment","needs_evidence_research","","","","","","","","visa","","","","not_tested",""
"BF","Burkina Faso","Africa","country","unassessed","reviewed_primary_authority;reviewed_primary_source;fresh_monitor;verified_rule;immigration_rule_assessment","needs_evidence_research","","","","","","","","visa","","","","not_tested",""
"BI","Burundi","Africa","country","unassessed","reviewed_primary_authority;reviewed_primary_source;fresh_monitor;verified_rule;immigration_rule_assessment","needs_evidence_research","","","","","","","","visa","","","","not_tested",""
"CV","Cabo Verde","Africa","country","unassessed","reviewed_primary_authority;reviewed_primary_source;fresh_monitor;verified_rule;immigration_rule_assessment","needs_evidence_research","","","","","","","","visa","","","","not_tested",""
"CM","Cameroon","Africa","country","unassessed","reviewed_primary_authority;reviewed_primary_source;fresh_monitor;verified_rule;immigration_rule_assessment","needs_evidence_research","","","","","","","","visa","","","","not_tested",""
"CF","Central African Republic","Africa","country","unassessed","reviewed_primary_authority;reviewed_primary_source;fresh_monitor;verified_rule;immigration_rule_assessment","needs_evidence_research","","","","","","","","visa","","","","not_tested",""
